trader_name,owner_name,license_number,latitude,longitude,inspection_status,instrument_type
Schowalter - Abshire Kirana Store,Wilbert Dare,LMO/2026/10001,28.506350,76.676494,Pending,Platform Scale
Collier - Schroeder Fuel Station,Ms. Marian Spinka,LMO/2026/10002,28.429808,77.002804,Passed,Analytical Precision Balance
Erdman Inc Flour Mill,Haskell Hahn,LMO/2026/10003,29.391101,77.227515,Passed,Crane Scale
Jast Batz and Lang Dairy & Sweets,Nathen Hoeger,LMO/2026/10004,29.216021,77.381054,Pending,Flow Meter
Greenfelder Hoeger and Howe Cold Storage,Mrs. Alysa Bahringer,LMO/2026/10005,28.902579,76.686301,Failed,Electronic Counter Scale
Rohan and Sons Supermarket,Roderick Runolfsdottir,LMO/2026/10006,29.085939,76.548918,Passed,Non-Automatic Weighing Instrument
Ritchie Howell and Schimmel General Trading Co,Maritza Lang MD,LMO/2026/10007,29.399768,77.029012,Pending,Platform Scale
Greenfelder - Blanda Fertilizers & Agro Chemicals,Katrina Shields,LMO/2026/10008,28.487726,76.853060,Passed,Flow Meter
Runolfsson and Sons Pharma Labs,Vera Leuschke DVM,LMO/2026/10009,29.475476,76.773539,Pending,Platform Scale
Mante - Durgan Pharma Labs,Marlon Gibson II,LMO/2026/10010,28.499155,76.616889,Failed,Weighbridge
Rippin - Moore Jewellers,Mr. Torrance Sipes,LMO/2026/10011,29.619012,77.465213,Pending,Analytical Precision Balance
Ebert - Wolff Hardware & Steel Depot,Breanna Zemlak,LMO/2026/10012,28.479667,76.439825,Passed,Electronic Weighing Scale
Donnelly LLC General Trading Co,Rosanna Marks-Welch,LMO/2026/10013,28.167827,77.329767,Passed,Automatic Gravimetric Filling Scale
Jacobs-Weissnat - Hand Hardware & Steel Depot,Novella Marks,LMO/2026/10014,29.215138,77.473563,Pending,Electronic Weighing Scale
Conn Walter and Rempel Grain Market Depot,Frederique Rolfson II,LMO/2026/10015,28.696706,76.512764,Passed,Crane Scale
